signal_id,ticker_symbol,signal_date,reasoning_summary,proof_segments_text,show_segment_heuristic,section_raw
43a6870d-c292-4d7a-94e0-f38842fedabb,ABT,2020-11-02,Benefits from increased testing under potential policy.,"If a Biden administration decides to spend a lot more money on testing, well you do want to own one of the testing plays, namely Abbott Labs or LabCorp",Late Show/Closing,
1a9897cc-c09a-4f52-98af-79adf38dffde,ABT,2018-11-29,Abbott Labs positioned for further upside despite run-up.,"Do not touch Abbott Labs. It's a big position. As you know, sir. For the Axellers plus.com club, I think the stock can go still higher.",Lightning Round,Lightning Round
048f5342-f82f-43d4-b85b-7ff9146f2e32,ABT,2019-10-03,Incredible consistency and new diabetes device; under Washington's radar in healthcare.,"We've been buying Abbott for my charitable trust where you can follow all of the moves before we make them by joining the ActionAlertsPLUS.com club. / We like Abbott for its incredible consistency, yet the stock is down nearly 9% from its high. Very rare to see that. I think it's an opportunity.",Monologue/Top of Show,
b3776e6a-73e6-4700-9dd7-53dcbc94d709,ABT,2024-05-20,"Fabulous outlook despite lawsuit concerns, plan to buy more at lower prices.","Okay. The, the outlook is fabulous. There is a lawsuit in July that, uh, involving Formula, the, its competitor. Reckitt Benkiser lost a case. I think that this is not going to be a big deal, but it doesn't matter. People know what happened with J&J and they're scared. We're waiting till at least it gets to par or 100 to be able to buy more, but we believe in the company.",Lightning Round,Lightning Round
2ab28cac-387d-4593-9941-38bdbfe4cbc8,ABT,2020-11-05,Dominant in COVID testing with multiple products and strong sales run rate.,"I like Abbott a lot. / I've been telling you to buy this one for ages, and while it's rocketed 8% this week alone, I think you stick with it, as we have for my charitable trust",Mid-Show/Interview,
e9817f95-0e36-4dab-87c5-b835e84c19c7,ABT,2021-10-15,Strong COVID tests and medical devices.,"Doesn't worry me. Now this, these guys had pre-announced the downside, earnings shortfall not that long ago because they made all these fantastic at home COVID tests... I wish the Abbott Labs narrative could get back to the greatness of its medical devices, which is why we owned it for so long for our charitable trust",Game Plan,Game Plan
c732650c-ca80-4a50-a632-d7177320766b,ABT,2024-07-17,Healthcare holding key to diversification despite underperformance.,"I heard from a bunch of people who wanted to know why, they were club members, why I stick with such losers like Best Buy or Abbott Labs instead of just going all in on NVIDIA and Amazon or Apple and Alphabet. / my trust owns a smattering of industrials, retailers, and healthcare",Monologue/Top of Show,
879ad501-ffc5-45ba-aaeb-d6c5b81d91ff,ABT,2024-02-29,"Post-COVID strength, GLP-1 opportunities in diabetes monitoring and protein products drive higher organic growth and bigger gains ahead.","Among them, we already owned Eli Lilly for the Charitable Trust... But there was another big story... that caused us to buy one of these stocks for the Charitable Trust. Now, I'm talking about ABT, yeah, Abbott Labs... We started buying Abbott on January 29th... The Charitable Trust now is up more than 5% on the position... And I think Abbott frankly, I think it's just getting started... I'm expecting much bigger gains here over time. So, it's not too late to pick up some Abbott yourself. / it's why we own both Lilly and Abbott Labs for the Charitable Trust, and it's why I think you should own them too.",Mid-Show/Interview,
88a32789-6d5c-4130-b30f-491f8862c31a,ABT,2019-01-18,"Strong sales in medical devices, particularly glucose monitoring, and long-term ownership in trust indicate conviction.","You want consistency? Then check out the stock of Abbott Labs, which is run by the incomparable Miles White. This man is money in the company's medical devices, particularly its glucose monitoring device, a less expensive version of Cramer-fave Dexcoms, is selling very well. I bet Abbott tells a very compelling story. It's been... and I've owned it for my travel trust forever.",Monologue/Top of Show,
ac10c4ef-c6c9-4a7a-bc0a-66ee5edf5dae,ABT,2023-10-13,Overly punished relative to potential sales loss.,"Now, I think the stock's been overly punished though, and, and i- it has really lost much more in its market cap than it could lose in sales for the product. But I'm pretty lonely in my pro-Abbott Labs position, so I have to be careful.",Game Plan,Game Plan
1820ecf4-3934-4cfa-b2cb-ad8cd5871600,ABT,2024-10-11,"Trust ownership, potential positive litigation tide.","My travel trust owns the two big stocks on the Wednesday docket list, Morgan Stanley, the big brokerage firm and underwriter, and Abbott Labs. ... Abbott Labs is mired in litigation too, this time for a specialty baby formula that plaintiffs claim causes grave harm or even death for their infants, but last week, the FDA, NIH, and CDC came out and they said they found no linkage, no conclusive evidence that Abbott's formula causes the illness. Abbott lost a case not that long ago for a huge amount of money, it's litigated another one now in the same venue. I think it could lose that one too, but the FDA, NIH, and CDC comments could potentially turn the tide in Abbott's favor going forward, which would be worth a great deal to this $116 stock.",Monologue/Top of Show,
d64493e8-14d1-4cb3-ab5b-ecc12a7e71c9,ABT,2020-10-14,Abbott's China operations would gain from eased relations.,"Of the 32 stocks we own for the charitable trust, fully two thirds of them would do better under a Biden presidency. / Abbott Labs, substantial business in China.",Monologue/Top of Show,
0d6c11ca-e4c5-41e9-8df7-68191c53ae78,ABT,2024-11-01,Strong fundamentals in healthcare; owns in trust and worth sticking with post-litigation win.,"I like Abbott so much that we, we established our position in it for the travel trust over this year. We've owned it off and on again for ages. / I kept telling you that Abbott was in the right here, and even if some venues might rule against them, I said it was worth sticking with the stock because the business is just that good. / There's much more to be gained ahead of time.",Mid-Show/Interview,
6f19030f-ff01-4ad0-a2ca-73fa77ecca7f,ABT,2024-01-09,Abbott's stock is performing well due to complementary role with GLP-1s and broad growth.,"Ever since the market bottomed in October, Abbott Labs has been on a roll. A few months ago, everyone was worried about these GLP-1 diabetes drugs eating into their diabetes device business. But now the company's pointing out their blood sugar monitors can be used as companions to the GLPs. And that's just one reason why the stock's been on fire.",Late Show/Closing,
873ac59c-4efb-48b9-b09c-f7dae0968274,ABT,2020-04-13,"Owns in trust, critical role in pandemic response.","Well, we own this one from our travel trust, and the truth is that the stock performance is a secondary concern here. The most important thing is to contain this virus.",Mid-Show/Interview,
919bb4af-617c-4e56-aeb6-e36d9510a79b,ABT,2022-01-03,"Makes essential COVID tests, strong in medical devices.","Abbott's a big medical device company. Th- they make the BinaxNOW at-home COVID tests that are sold out all over the country... Now we actually trimmed some of these positions for the trust last week, but only because we're big believers in discipline... I still love all three companies though, and I like their stocks a great deal.",Mid-Show/Interview,
3c20e333-9f03-463b-a3c6-2694434e23cc,ABT,2021-10-12,"Strong beyond COVID testing, continued position in Charitable Trust.","Well, Harish, that's been the reason why people have been shying away from, uh, buying the stock, but they sure aren't shying away from buying BinaxNOW. I mean, look, I think that this thing is gonna be with us for a long time. Remember, they already pre-announced bad for BinaxNOW. They're not pre-announcing good. But Abbott's got so many other things going for it. Let's not call it a BinaxNOW story. I like Abbott, but I've liked it for multiple years and will continue to do so for the Charitable Trust and of course, therefore, the CNBC Investing Club.",Lightning Round,Lightning Round
143cbfd2-fe55-4586-a422-5fa1cb84528a,ABT,2024-10-16,"Monster quarter, favorite in drug group.","My favorite in this group right now, though, remains Abbott Labs who's had a monster quarter this morning.",Lightning Round,Lightning Round
217aa022-09aa-4a23-ab57-318e6494b73b,ABT,2024-07-30,Strong despite jury loss; better than DXCM.,My travel trust owns Abbott.,Lightning Round,Lightning Round
84591b5a-02c2-40d5-a79b-6cd2a0f583c8,ABT,2018-12-07,Red hot device business with strong balance sheet under capable management.,"Boy, I think that that one is terrific. That's, that's, uh, Myles White, he's done a remarkable job. The device business is red hot. They've got a fantastic balance sheet and it's a big holding of actionalertsplus.com club.",Lightning Round,Lightning Round
42bc4775-7f21-44c6-9247-d636041d0837,ABT,2022-02-04,Strong glucose monitor sales and future cash deployment justify ownership.,"Well, I'll tell you, I, I, I said some very positive things about it today at the Investment Club. They said that, they rate, they did a lot of money, made a lot of money from BinaxNOW, but they are going to get no credit for it. So they have to b- basically do something with that money, deploy it somehow, and then it will be fine. In the meantime, the Libre, the diabetes, uh, uh... The, the glucose monitor is selling very well. That's the reason to own it.",Monologue/Top of Show,
424b9fcd-174c-470c-b6ff-1613e92eeb15,ABT,2024-05-08,"Recent purchase despite dip, strong quarter.","We bought some Abbott Labs, dividend at risk that's been crushed, dropping from 121 in March to 105, despite a terrific quarter three weeks ago",Monologue/Top of Show,
562c2585-9726-405a-818e-ba97c21e2b7d,ABT,2018-09-06,Core holding with steady value creation led by strong management.,"To me, that looks a lot like Abbott Labs, which has created an extraordinary amount of value for its shareholders year after year. While Abbott probably won't put up explosive numbers this year, that's okay. It's the kind of core holding you can expect to keep moving slowly but steadily higher. / AbbVie at 92 today. I saw it, I said, ""You know, I should just go out and tell people to buy it."" But I like Avid Labs more because of Miles White.",Mid-Show/Interview,
6999aac1-1c5a-4baa-b447-4464c818dbe4,ABT,2021-11-05,Likes and owns in trust.,"What else? Contrary one, I like Abbott Labs. We own it for the travel trust.",Late Show/Closing,
2b9286e8-297a-4088-a6a3-51ac3314d079,ABT,2020-08-25,Amazing company in medical instruments space.,"How about Abbott Labs? Big hold of my travel trust, monster good.",Monologue/Top of Show,
5aa452d9-9b85-4562-b896-f238b2605105,ABBV,2021-08-18,"Low multiple, high dividend, and upcoming approvals for Rinvoq to offset patent losses.","Two more reasons we own it for the Travel Trust, where you can see all of our moves before we make them by joining the ActionAlertsPlus.com club.",Late Show/Closing,
fd3444e5-6084-40ab-8e19-02f6f4dee1b3,ABBV,2019-12-19,Rocket ship stock with yield and $100 target.,"What's going on? The stock is a rocket ship and it's terrific. It's at 88, it's still got a 5% yield. It goes higher. You know, I'm using $100 price target for the club.",Lightning Round,Lightning Round
c19f4c3f-0fc2-45d5-8af3-ee3451a371fc,ABBV,2018-05-08,Strong yield and recent drop make it a hold without adding more.,"No, uh, just, uh, I actually just want you to ride this one out. Just own it. It's got a 3.86% yield. If it comes down below that range, then you want to buy it. Probably won't do that, but I don't want to add to more, because the stock happened to have just been dramatically lower just a few days ago.",Monologue/Top of Show,
c15a123f-5d85-44a2-90f4-9b33ffdf4e17,ABBV,2018-05-24,"AbbVie is excellent and doing well, downgrade seemed wrong.",I'm gonna tell you to hold. / I want you to hold on your AbbVie because I think they are doing so well.,Mid-Show/Interview,
3cf5c938-b0f2-44e8-84e7-ff51e806557c,ABBV,2022-02-22,Cheap valuation and good dividend support staying long.,"Out on pullback, ABBV, AbbVie. ABBV is still cheap. It's still got a good dividend. Large, large position for the investing club. And I say stay long.",Lightning Round,Lightning Round
bf29f296-8944-439d-8f4d-18315769419e,ABBV,2022-01-27,"Broke out with good dividend, worth holding despite past post-earnings weakness.",AbbVie broke out today... I think AbbVie's good. It's got a good dividend and I'm sticking with it.,Lightning Round,Lightning Round
4f19c80e-7dbd-49dd-92f4-7cb77082500e,ABBV,2019-11-21,Strong performer held in personal trust with continued enthusiasm.,"I'm gonna let that Cowboy reference go because I like AbbVie so much. It's owned by my child trust. Join the club. Find it out. Like the stock. Buy, buy, buy.",Lightning Round,Lightning Round
390ae0d8-12eb-497a-842d-8ce923646633,ABBV,2022-06-17,"AbbVie has 4% yield, strong Allergan franchise, and new products driving future growth.","Okay. AbbVie's got 4% yield that matters. Uh, they've got... They just started working on the Allergan, uh, on this tremendous Allergan franchise that they bought, and their core drugs are still selling well and they've got some breakout new products to do better. I think the answer is that AbbVie would feel big for our channel trust goes higher.",Lightning Round,Lightning Round
0f097644-f2e6-4678-bd53-f8632d8bc676,ABBV,2021-07-20,AbbVie's Allergan acquisition assets like Botox are shining through with expected global spike in use.,"My favorite, though, is AbbVie, the drug company with a 4.5% yield that we own for The Charitable Trust",Monologue/Top of Show,
e3b537f6-bed8-47d4-8429-260024caf1b2,ABBV,2019-04-12,Worried about Humira patent but potential pipeline like Celgene turnaround.,I'm not gonna tell you to sell AbbVie down here. I just can't do that.,Lightning Round,Lightning Round
6762eb44-537a-467b-bd31-db82b17f82e3,ABBV,2022-06-03,Owned in charitable trust as part of diversified dividend portfolio.,And AbbVie is o- is owned by my charitable trust.,Am I Diversified?,Am I Diversified?
5b42733b-6963-4e59-a395-0dbc8aaa3362,ABBV,2022-03-30,"Strong company with yield, underrated by Wall Street.","let's just hang on to the rest because it does still yield three and a half. / Let's hold on to some, take profits in others if you have it like we did",Monologue/Top of Show,
52928f2c-216a-4745-9437-799a3fa1c128,ABBV,2022-08-29,"Strong cash flow, 4% yield, and insulation from Humira patent cliff via Allergan acquisition and pipeline potential.","My travel trust owns it. We write about it constantly. Uh, uh, Jeff Marks and I, we both believe in it. It's got a 4% yield. We're not that worried about the patent cliff. They are plenty insulated, they have a lot of cash, and I think you stick with AbbVie.",Mid-Show/Interview,
6e51e3db-2ed8-4123-b43e-2c5d9a628ef9,ABBV,2020-01-30,"Favorite pharma pick with safe dividend, cheap valuation, and earnings growth from Allergan acquisition.","We own both AbbVie and Bristol-Myers for my charitable trust / AbbVie, ABBV, perhaps my favorite pick in the whole industry ever since it announced the gigantic acquisition of Allergan last summer. Uh, on the one hand, AbbVie protects you with a bountiful 5.8% yield. ... Best of all, the stock is darn cheap, trading at less than nine times earnings. ... This thing deserves a much higher valuation",Mid-Show/Interview,
537c7a57-c363-4598-9690-7159d920d775,ABBV,2020-01-31,"Acquiring Allergan at good price, positioned to withstand market selling pressure.","If we get through the week with endless down days and we're dramatically oversold, and I'm gonna give you that figure about whether we are, then I've got one for you. It's AbbVie, okay? AbbVie, I think, is ... Remember, they're buying, uh, Allergan. It's a big position for my travel trust. I know we're gonna be telling ActionAlertsplus.com members that this is where they should be. This is where they should pull the trigger. / I think it can withstand even a ferocious amount of selling.",Monologue/Top of Show,
fd3fc46c-771d-4136-97fb-152826b228c2,ABBV,2020-04-02,AbbVie offers strong yield and remains attractive despite COVID impact on elective procedures.,"I do like the yield and I think it remains a great stock, a big position for my charitable trust.",Lightning Round,Lightning Round
d3d67de2-99e2-49b3-ba48-2c4aee780d7f,ABBV,2018-07-23,Believes analyst sell rating is off base despite Humira concerns.,"AbbVie is a buy, and I would actually add more to my position right here to get a better basis.",Mid-Show/Interview,
05694908-3ead-4a0f-b6e0-19503095d834,ABBV,2022-01-12,Biggest winner in charitable trust with gigantic gain.,"AbbVie's been one of us big- biggest winners for the charitable trust, and we actually, uh, recently took some off because we thought that, uh, we had such a gigantic gain.",Monologue/Top of Show,
28c2cdb4-cf9f-40b6-b89b-d7636eb14887,ABBV,2019-12-09,"Undervalued post-acquisition, strong drugs like IMBRUVICA and CGRP, big dividend.","Okay yes, I've been doing the conference call on Wednesday about this, you're so right, it was... this stock was radically undervalued. Why? Because as is often the case when you make an acquisition like they did with Allergan, people immediately freak out, and now we're starting to come to fruition and I believe the CGRP, th- their once... their pill for acute migraine is going to be extraordinarily good. I also think by the way, just so you know, that the IMBRUVICA that you mentioned, Johnson & Johnson owns half, has been a remarkable drug and continues to be able to gain momentum. I'm no longer worried about the one product notion of AbbVie. Big dividend, stock goes to 100. / Exactly right.",Mid-Show/Interview,
e602f7a4-c6fa-4c24-ad5f-990f85e152eb,ABBV,2020-02-04,Expected strong earnings quarter.,"Okay, so the first one is AbbVie, my travel trust owns it. I think it's gonna be a good quarter.",Lightning Round,Lightning Round
a4d44fc7-2b65-4256-a5ae-b4800b98fc8e,ABBV,2020-12-08,"Likes the company and its yield, maintaining position after trimming.","we sold a little AbbVie. We bought a ton when it was lower, and it got to be a huge position, man. Out of disciplison, discipl- disciplison, I like that. I had great disciplison. Uh, we decided to trim a little just because it was too big, but I do like the company very much. And it's doing quite well, and that yield is for real.",Mid-Show/Interview,
b126904e-519d-4d1c-8fc8-7a4ea101625e,ABBV,2022-01-03,Great pharma company.,"AbbVie is Abbott's former pharma division that it spun off several years ago. Great company... Now we actually trimmed some of these positions for the trust last week... I still love all three companies though, and I like their stocks a great deal.",Mid-Show/Interview,
c53f4861-64fa-4c85-8911-c8ae7ab15106,ABBV,2020-01-27,AbbVie's drugs used in China for treatment; trust owns and wants to add amid Allergan acquisition benefits.,"First there's AbbVie. / We know the Chinese government is being... well, they're using a combination of two AbbVie drugs to help treat the disease. / which is why we want to buy more AbbVie for my charitable trust, which you can follow on by joining actionalertplus.com club.",Mid-Show/Interview,
47f092a1-1418-4e52-aa39-09732417c6ab,ABBV,2021-04-27,"AbbVie's Allergan acquisition undervalued, with reopening potential via Botox.","We bought AbbVie for the charitable trust about a year and a half ago and it's given us a terrific gain. Even after this move, I think they don't get enough credit for the big Allergan acquisition.",Mid-Show/Interview,
dcf0a09b-2d5e-46c9-920e-a71f785908ec,ABBV,2021-06-11,AbbVie offers a great yield and is performing well in the current quarter.,"AbbVie, own it for actionwarnsplus.com, my travel trust. Great yield, making a great quarter.",Am I Diversified,Am I Diversified
af86618e-0af3-44f5-9087-c57dab032873,ANF,2024-08-26,Strong operator with good inventory management; expect positive quarter.,"Betsy, you are so right. Abercrombie reports this week... But I agree with you. I think Abercrombie is just a tremendous operator. Fran Horowitz is a terrific CEO, and I really expect them to do a very good job in the quarter.",Mid-Show/Interview,
e376eea2-0cf2-421d-ba17-3a4acd5c05b4,ANF,2024-05-29,Strong same-store sales and innovative offerings like wedding shop attract younger demographics.,"First, in the case of Abercrombie and Dick's, we have first class management teams that have created amazing places to shop. Both Abercrombie and Hollister, their other big brand, are key destinations at the mall. ... That's how you get 21% same store sales growth. ... The CEO Fran Horwitz recognized for instance that weddings are no longer one day events, but multiple days, so she has a wedding store that's catering to that. ... What stands out to me with all three of these success stories, execution. / Three different retailers put up numbers today that were nothing short of extraordinary. ... three retailers bucking the trend",Late Show/Closing,
edf4fe89-8071-43ac-918a-82dba3c475be,ANF,2024-12-06,"Fashion niche, diversified.","Abercrombie... All right. Now, this is fashion, and this is home.",Am I Diversified,Am I Diversified
61ee9732-905b-4d37-a160-b79be8d02a61,ASO,2021-09-13,Strong earnings multiple and CEO performance indicate upside.,That's Ken Hicks. It has not peaked. It's up like eight times earnings. I don't know if you heard Ken on TV. Holy cow. He's as good as he's always been. I like that fella.,Lightning Round,Lightning Round
0ab32114-6436-46d4-91c1-e22f7da4d07e,ASO,2022-03-01,Undervalued at four times earnings despite market decline.,"Uh, sells at four times earnings, what a horrible market. This is not just a bad market. This is a horrendous market. I'm not going to tell you a stock that sells at four times earnings. That doesn't make any sense to me.",Lightning Round,Lightning Round
ab61e10f-849f-4601-b899-f5a10def6b33,ASO,2023-11-21,Stock too low at 6x earnings despite solid fundamentals and buybacks.,"Uh, there's this... People just regard this as a, as a gun stock. I mean, no matter what they do. But I'm gonna agree with you that the stock is just too low. I can't recommend selling a stock at six times earnings. That's just not what I do.",Lightning Round,Lightning Round
c46db850-83cd-42a0-96dd-58d2d0e88561,ACAD,2019-09-12,Positive trial results and good science in CNS space.,"Yeah, you wanna stay in that thing. I mean, I think the central nervous system, they're doing a lot. It is speculative, but I think they're having some pretty darn good luck and they've got good science and that's what matters.",Lightning Round,Lightning Round
fcd07381-9842-41d3-a4cd-819e862bb0bc,ACN,2023-04-03,Beat estimates with expense controls; solid growth runway.,I agree with you. I like Accenture very much. It's been one of my favorites for quite a long time.,Late Show/Closing,
63a6564a-9ee2-4363-9678-9fac162e35ea,ADMA,2024-07-22,"Strong performer, likes biologics, but advises trimming gains to lock in profits.","Well, first of all-Congratulations. I mean, that's been a rocket and, you know, I have to tell you, if- if I were you, honestly, I would take some off the table because you've got it so that you can play with the house's money and never ever worry. But I understand your strength. You obviously nailed it. And I do like this kind of biological company. But I want you to take a little off the table just so that I can sleep at night for your, for your sake.",Lightning Round,Lightning Round
435d6884-2006-4150-a09e-e9df190c67af,ADB,2024-06-13,"Strong quarter and forecast, AI integration enhances creativity tools without replacement threat.","Even with up 75, believe me, you're in good shape for this one.",Late Show/Closing,
ad066696-0dc2-4f50-953a-8078fac842d3,ADB,2019-09-17,"Anticipates positive guidance at upcoming November meeting, viewing current dip as temporary.","Now, I know the stock of Adobe's going down in after-hours trading, but you have to understand that this is this weird interlude between September and November giant analysts' meeting where historically Shantanu Narayen has actually guided up. So, do not be a sucker and blow the stock out while it's down.",Late Show/Closing,
ecd91376-e99c-40bb-96d4-d054830abac5,ADB,2018-09-06,Views Adobe as a stalwart cloud stock that has bottomed.,"it looks like the cloud stocks are starting to bottom, led by, of course, stalwart Adobe. / Salesforce and its cloud compatriot, Adobe, both seem to have bottomed here, as have a bunch of other techs.",Monologue/Top of Show,
af55831a-71eb-401b-8b58-5bbfd096ec0e,ADB,2020-10-21,Subscription model supports long-term value despite choppy numbers.,"It was right about the time they went into an all subscription-based business model, and I- I... it's why I stuck with the stock even when the numbers got choppy.",Monologue/Top of Show,
98a83de6-554e-486b-a244-1f5fb755cb84,ADB,2022-04-04,Compelling story from CEO supports maintaining long position.,"I want to be long Adobe, not out of Adobe. I think you have a good one, not a dog namer, but a good stock.",Monologue/Top of Show,
396062da-13c0-473c-8050-b838c3902f60,ADB,2023-08-21,Strong AI product under new leadership.,"I like Adobe... I think you should not take profits at Adobe. I think you should let Adobe ride. They have got s- this, a tremendous, tremendous AI product.",Monologue/Top of Show,
38c7723a-8cbc-4039-833a-43f66ad66f22,ADB,2023-12-08,Consistent delivery of returns expected to continue with AI mission.,"Then after the close, we hear from one of my favorite companies, Adobe, which is on a mission to make generative AI work for everybody. Democratization, not just for the big enterprises. CEO Satya Nadella has consistently delivered amazing returns. I don't think that's gonna change.",Monologue/Top of Show,
66ef8e4d-b150-4476-9a61-f9553f168b9d,ADB,2018-06-13,Cloud-based model drives supercharged growth in e-commerce tools.,"So can the stock keep roaring? Well, Adobe reports tomorrow night, so we'll find out soon. The expectations have been somewhat elevated of late, but that's nothing new and they've got a history of beating numbers.",$100 Billion Club,$100 Billion Club
28891809-a3d6-42a4-b76f-8a0a9d95bbf8,ADB,2022-03-29,"Quarter was better than perceived, stock recovering.","the stock of Adobe, it got crushed last week on its quarter. And have you noticed that it's now higher than when it reported the so-called awful quarter that I told you I liked?",Monologue/Top of Show,
0792aa22-040e-4bfe-8903-4aca12bee2e1,ADB,2022-04-21,Great company despite Fed rate pressures; stay the course.,"All right. Now, Adobe is one of these stocks that's completely caught up in the Fed raising rates, uh, because it's not liked during an inflationary period. You are going to have to stay the course 'cause it is a great company.",Monologue/Top of Show,
2c2e812e-bbfb-41ad-be0a-d1aec78e27f0,ADB,2024-05-14,"Adobe is cheapest seen, down 20% YTD; CEO will resolve issues, betting on recovery around $475.","What do I do? Sell now or hold / No, no, no, no. It's really the cheapest I've seen, and a lot of this has been down 20% for the year. / Uh, you know, Shantanu Narayen is gonna figure this one out. Now, I don't know how he's gonna figure it out. I don't have an answer for him, but I'm betting ... and I'm not running Adobe. And I know that he's a smart person and therefore I'm banking with him at the level of 475, give or take like 10 or 15 points.",Monologue/Top of Show,
7d8aaec8-c2e2-4288-a2eb-45d4a1579183,ADB,2023-06-08,Favorite due to AI integration in software.,"This morning, we got a strong push to own Adobe, one of my long-time favorites, because of how its software can be used with supercomputers that are at the heart of generative AI, to develop new things with greater ease than we thought.",Monologue/Top of Show,
3253e275-cc98-4289-93df-4f72a05476a2,ADB,2023-07-20,"Long-liked for subscription model, positive on AI benefits via Firefly, safest cloud play.","Now, I've liked Adobe ever since the transition to a subscription business model. It was over a decade ago. / That's why it was one of our original cloud kings. That said, I got even more positive on the one... on this in March when I spoke to ce- to Shantanu Narayen, he's the CEO, and realized that Adobe could benefit enormously right now from the mainstreaming of artificial intelligence / I think Adobe is the safest by far",Mid-Show/Interview,
b44050e3-ca44-4262-abea-f36aeb783a2b,ADB,2021-12-16,"Long-term recommendation intact, still sees value despite pullback.",we started recommending this stock at 58 and we're not leaving it yet. It's still inexpensive versus what you're doing.,Late Show/Closing,
56d29af0-f2d3-4c8f-993f-eb38f71dc109,ADB,2020-06-30,Supports smaller operators in digital shift.,"Fastly, I know there's a lot of people crazy about that one. Adobe, Wix, all small operators, / And with COVID spreading like wildfire, sadly, I bet these keep climbing or I wouldn't have picked them.",Monologue/Top of Show,
b8628331-1a67-495d-80a3-9cdb3d8a79c5,AAP,2021-04-27,Advanced Auto Parts is excellent with strong performance history.,"I have liked Advanced Auto Parts for literally 100 points, and I gotta tell you, I'm not backing away from it now. No. Not here, no, no way. I think Advanced Auto Parts is an excellent stock.",Lightning Round,Lightning Round
bb1c02de-385b-4686-b71d-b8bc1af27dde,WMS,2021-06-21,"WMS is a solid medium-cap story in building drainage, despite pandemic play perception.","I think it's gonna be viewed as a pandemic play, uh, it, with the opening ... You know, to me, i- i- it's gonna be one of those stocks where people say, ""Okay, all that work was done during the pandemic and now it's got no mojo."" Look, I think the stock's gonna come down, but I agree with you, I think it's a very good situation",Lightning Round,Lightning Round
bc487dbc-94fb-4b42-8dfe-8df2c5cfec34,AMD,2023-11-10,Strong performance expected to continue.,"Yes, you can! And I'm kicking myself here. ... AMD's a good hold.",Lightning Round,Lightning Round
dc53b5d3-389e-4be3-8dec-66dabe40e19e,AMD,2021-07-29,AMD remains strong post-acquisition of Xilinx and earnings beat.,which is why I still like AMD even though it was up again over 100.,Monologue/Top of Show,
7e9b0f1c-4745-4d2d-ba30-00865ec6ce0a,AMD,2022-07-27,1 Chapel Trust owns AMD amid positive semiconductor outlook from cloud computing needs.,"don't even get me started on the semiconductor stocks, NVIDIA, AMD, Marvell Tech, of which 1 Chapel Trust owns all three.",Monologue/Top of Show,
