sequence_id,ticker,start_date,end_date,total_signals,kept_signals,has_cramer_owns,has_hold_recommendation,first_hold_date,end_reason,entry_alpha,entry_price,gics_sector,vix_at_entry
57,0R2J,2024-08-01,2024-11-05,4,2,False,False,,gap_expired,0.590749253,75.419499913,Basic Materials,18.59
58,1FA,2023-05-02,2023-06-05,2,2,False,True,,gap_expired,0.675474565,38.05,Consumer Defensive,17.78
59,1FA,2024-01-26,2024-01-26,1,1,False,False,,gap_expired,1.884268461,49.75,Consumer Defensive,13.26
60,1FA,2024-05-17,2024-05-17,1,1,False,False,,gap_expired,0.944637835,78.54,Consumer Defensive,11.99
61,1FA,2024-09-04,2024-09-04,1,1,False,False,,gap_expired,0.18787953,98.34,Consumer Defensive,21.32
62,1FA,2024-11-15,2024-11-15,1,1,False,True,,gap_expired,-0.5666147,143.13,Consumer Defensive,16.14
63,2BH,2018-04-13,2018-04-13,1,1,False,False,,gap_expired,0.084888692,90.469353571,Healthcare,17.41
64,2BH,2018-08-07,2018-08-13,2,1,False,False,,gap_expired,-0.050491745,121.70349451,Healthcare,10.93
65,2BH,2018-10-16,2018-11-07,3,1,False,True,,gap_expired,-0.165986489,127.948793796,Healthcare,17.62
66,2BH,2019-01-24,2019-05-20,4,2,False,False,,gap_expired,-0.169982754,125.9077297,Healthcare,18.89
67,2BH,2020-01-24,2020-01-24,1,1,False,False,,gap_expired,-0.043875245,134.755866196,Healthcare,14.56
68,2BH,2020-07-29,2020-07-29,1,1,False,True,,gap_expired,0.568467404,122.417433944,Healthcare,24.1
69,2BH,2020-12-16,2020-12-16,1,1,False,False,,gap_expired,0.316999213,155.635365884,Healthcare,22.5
70,2BH,2021-10-18,2021-10-18,1,1,False,False,,gap_expired,0.018092758,239.240828373,Healthcare,16.31
71,2BH,2023-04-25,2023-04-25,1,1,False,False,,gap_expired,-0.17139256,276.066191706,Healthcare,18.76
72,2BH,2024-05-03,2024-05-03,1,1,False,False,,gap_expired,0.039675963,305.213960753,Healthcare,13.49
73,2BH,2024-08-21,2024-10-28,3,2,False,False,,gap_expired,-0.091478209,374.557285828,Healthcare,16.27
74,2HQ,2019-03-13,2019-03-13,1,1,False,False,,gap_expired,-0.91832771,706.5,Healthcare,13.41
75,2HQ,2020-07-29,2020-07-29,1,1,False,False,,gap_expired,1.26386043,74.7,Healthcare,24.1
76,2HQ,2021-01-20,2021-01-20,1,1,False,False,,gap_expired,0.449096942,180.6,Healthcare,21.58
77,2HQ,2022-04-12,2022-04-12,1,1,False,False,,gap_expired,-0.560373273,62.4,Healthcare,24.26
78,2HQ,2022-11-03,2022-11-03,1,1,False,False,,gap_expired,-0.724045774,39.5,Healthcare,25.3
79,2HQ,2024-04-05,2024-04-05,1,1,False,False,,gap_expired,-0.865543947,25.9,Healthcare,16.03
80,35G,2019-06-11,2019-06-11,1,1,False,True,,gap_expired,-0.124650325,33.960235285,Technology,15.99
81,600941,2019-01-29,2019-01-29,1,1,False,False,,gap_expired,0.914445343,0.0023,Communication Services,19.13
82,601888,2018-01-16,2018-01-16,1,1,False,False,,gap_expired,0.156639474,33.879627928,Consumer Cyclical,11.66
83,601888,2018-09-25,2018-09-25,1,1,False,True,,gap_expired,0.064164606,38.94296999,Consumer Cyclical,12.42
84,601888,2019-10-02,2019-10-02,1,1,False,False,,gap_expired,-0.245541414,42.440316526,Consumer Cyclical,20.56
85,601888,2020-03-09,2020-03-09,1,1,False,False,,gap_expired,-0.443813767,45.828161199,Consumer Cyclical,54.46
86,601888,2021-05-04,2021-05-04,1,1,False,True,,gap_expired,0.241538368,52.588828405,Consumer Cyclical,19.48
87,601888,2021-11-05,2021-11-05,1,1,False,True,,gap_expired,0.268384398,62.362339723,Consumer Cyclical,16.48
88,601888,2022-10-11,2022-10-11,1,1,True,False,2022-10-11,gap_expired,-0.329494572,58.075783152,Consumer Cyclical,33.63
89,603912,2018-12-10,2018-12-10,1,1,False,False,,gap_expired,0.428375531,88.12,Technology,22.64
90,603912,2019-09-18,2019-09-18,1,1,False,True,,gap_expired,0.325600708,104.0,Technology,13.95
91,788,2021-08-02,2021-08-02,1,1,False,False,,gap_expired,-0.431873831,36.5,Consumer Cyclical,19.46
92,847,2018-05-02,2018-05-02,1,1,False,False,,gap_expired,-0.181596564,40.053949713,Technology,15.97
93,847,2019-06-19,2019-06-19,1,1,False,True,,gap_expired,0.101003284,36.426681081,Technology,14.33
94,847,2022-12-01,2022-12-01,1,1,False,True,,gap_expired,0.398384327,46.8748046,Technology,19.84
95,9WY,2024-10-10,2024-12-02,2,2,False,False,,gap_expired,-0.240841445,332.294968685,Energy,20.93
96,A,2020-02-11,2020-02-11,1,1,False,False,,gap_expired,0.317086729,81.873838697,Healthcare,15.18
97,A,2021-06-28,2021-08-18,2,1,False,False,,gap_expired,-0.098236521,142.837664884,Healthcare,15.76
98,A,2024-12-18,2024-12-18,1,1,False,False,,gap_expired,-0.13335681,131.833090837,Healthcare,27.62
99,AA,2018-03-19,2018-03-26,2,1,False,True,,gap_expired,-0.437037854,44.291582252,Basic Materials,19.02
100,AA,2021-04-28,2021-05-03,2,1,False,False,,gap_expired,0.073119779,35.331968267,Basic Materials,17.28
101,AAL,2018-01-11,2018-01-11,1,1,False,False,,gap_expired,-0.357231196,55.127088598,Industrials,9.88
102,AAL,2018-04-12,2018-04-12,1,1,False,False,,gap_expired,-0.354807895,45.653255379,Industrials,18.49
103,AAL,2018-07-05,2018-08-06,2,1,False,True,,gap_expired,-0.073565081,37.381282373,Industrials,14.97
104,AAL,2018-11-28,2018-11-28,1,1,False,False,,gap_expired,-0.082255406,38.182552824,Industrials,18.49
105,AAL,2020-04-13,2020-04-13,1,1,False,False,,gap_expired,-0.071578013,12.22,Industrials,41.17
106,AAL,2020-08-05,2020-08-06,2,1,False,False,,gap_expired,0.257188453,13.04,Industrials,22.99
107,AAL,2021-07-14,2021-07-14,1,1,False,False,,gap_expired,-0.194542821,20.56,Industrials,16.33
108,AAL,2022-04-21,2022-06-21,3,2,False,False,,gap_expired,-0.32188241,20.6,Industrials,22.68
109,AAL,2023-01-17,2023-02-07,2,1,False,False,,gap_expired,-0.448207861,17.53,Industrials,19.36
110,AAL,2023-07-31,2023-08-24,2,2,False,True,,gap_expired,-0.59369411,16.54,Industrials,13.63
111,AAP,2018-01-05,2018-01-17,2,1,False,False,,gap_expired,0.508151633,98.483188362,Consumer Cyclical,9.22
112,AAP,2021-04-27,2021-04-27,1,1,False,True,,gap_expired,0.154539734,175.257553324,Consumer Cyclical,17.56
113,AAP,2022-06-14,2022-06-14,1,1,False,False,,gap_expired,-0.769888145,156.459067986,Consumer Cyclical,32.69
114,AAPL,2018-01-02,2024-12-12,395,59,True,True,2018-01-02,gap_expired,-0.083987942,40.367391883,Technology,9.77
115,AB,2019-04-18,2019-04-18,1,1,False,False,,gap_expired,-0.263954843,16.963718802,Financial Services,12.09
116,AB,2023-02-09,2023-02-09,1,1,False,False,,gap_expired,-0.309989073,30.299216853,Financial Services,20.71
117,AB,2024-05-13,2024-05-13,1,1,False,False,,gap_expired,0.200847235,28.852740785,Financial Services,13.6
118,ABBV,2018-01-08,2018-02-08,3,2,False,False,,gap_expired,-0.046282689,70.100451538,Healthcare,9.52
119,ABBV,2018-05-08,2018-08-09,4,2,True,True,2018-07-23,gap_expired,-0.119005987,71.298814118,Healthcare,14.71
120,ABBV,2019-04-12,2019-04-12,1,1,False,True,,gap_expired,0.094239035,60.7911385,Healthcare,12.01
121,ABBV,2019-08-20,2020-05-05,23,8,True,True,2019-11-21,gap_expired,0.313722588,51.335234187,Healthcare,17.5
122,ABBV,2020-10-13,2021-08-18,12,5,True,True,2020-12-08,gap_expired,0.035098726,70.876059416,Healthcare,26.07
123,ABBV,2022-01-03,2022-08-29,8,4,True,True,2022-01-03,gap_expired,0.450647734,115.763220467,Healthcare,16.6
124,ABBV,2024-04-08,2024-04-08,1,1,False,False,,gap_expired,0.043120818,158.43957313,Healthcare,15.19
125,ABBV,2024-11-15,2024-11-15,1,1,False,False,,gap_expired,0.307176544,158.747387597,Healthcare,16.14
126,ABCL,2021-09-22,2021-09-22,1,1,False,False,,gap_expired,-0.419487862,21.41,Healthcare,20.87
127,ABG,2021-07-22,2021-07-22,1,1,False,False,,gap_expired,-0.075823677,195.53,Consumer Cyclical,17.69
128,ABM,2019-08-21,2019-08-21,1,1,False,False,,gap_expired,-0.201141711,34.091819399,Industrials,15.8
129,ABNB,2020-12-21,2021-06-30,13,6,False,True,,gap_expired,-0.291279419,170.0,Consumer Cyclical,25.16
130,ABNB,2021-09-21,2022-01-28,7,3,False,True,,gap_expired,-0.261177106,170.029,Consumer Cyclical,24.36
131,ABNB,2022-05-03,2022-06-30,4,3,False,True,,gap_expired,-0.220120618,152.55,Consumer Cyclical,29.25
132,ABNB,2022-10-12,2022-11-04,2,1,False,True,,gap_expired,-0.101592753,107.3,Consumer Cyclical,33.57
133,ABNB,2023-01-06,2024-05-03,18,10,True,True,2023-04-12,gap_expired,0.366964933,90.255,Consumer Cyclical,21.13
134,ABNB,2024-09-27,2024-11-08,2,1,False,True,,gap_expired,-0.23728597,127.35,Consumer Cyclical,16.96
135,ABT,2018-01-29,2018-01-29,1,1,False,False,,gap_expired,0.216741222,54.233899989,Healthcare,13.84
136,ABT,2018-06-13,2019-01-18,10,4,True,True,2018-11-29,gap_expired,0.270806288,54.861524255,Healthcare,12.94
137,ABT,2019-10-03,2022-02-04,30,14,True,True,2019-10-03,gap_expired,0.167700914,72.463694462,Healthcare,19.12
138,ABT,2023-02-28,2023-02-28,1,1,False,False,,gap_expired,-0.114839709,94.938238231,Healthcare,20.7
139,ABT,2023-07-20,2023-10-13,4,2,False,True,,gap_expired,-0.296935241,107.437564361,Healthcare,13.99
140,ABT,2024-01-09,2024-12-10,20,6,True,True,2024-02-29,gap_expired,-0.22060978,108.223733386,Healthcare,12.76
141,ABX,2020-10-06,2020-11-13,4,1,False,False,,gap_expired,-0.307431252,9.469109788,Financial Services,29.48
142,ABX,2021-02-12,2021-06-24,5,2,False,True,,gap_expired,-0.188277739,10.18700382,Financial Services,19.97
143,ABX,2021-09-13,2021-10-01,2,1,False,False,,gap_expired,0.136514405,9.507849054,Financial Services,19.37
144,ABX,2021-12-15,2021-12-15,1,1,False,True,,gap_expired,0.199314606,9.556399996,Financial Services,19.29
145,ABX,2022-02-25,2022-02-25,1,1,False,False,,gap_expired,0.103372178,9.585498076,Financial Services,27.59
146,ABX,2022-06-15,2022-08-03,2,1,False,False,,gap_expired,-0.142142314,9.663098097,Financial Services,29.62
147,ABX,2022-12-02,2023-04-12,5,3,False,True,,gap_expired,-0.449747927,9.789299999,Financial Services,19.06
148,ABX,2023-08-22,2023-08-22,1,1,False,False,,gap_expired,0.113303999,7.082442684,Financial Services,16.97
149,ABX,2023-10-24,2023-10-24,1,1,False,True,,gap_expired,0.070115102,5.995764207,Financial Services,18.97
150,ABX,2024-01-18,2024-01-18,1,1,False,False,,gap_expired,-0.61661691,11.060185004,Financial Services,14.13
151,ABX,2024-04-08,2024-04-22,2,1,False,True,,gap_expired,-0.432622517,11.763589555,Financial Services,15.19
152,ABX,2024-06-24,2024-06-24,1,1,False,True,,gap_expired,-0.598586062,8.246670522,Financial Services,13.33
153,ACAD,2018-11-28,2018-11-28,1,1,False,False,,gap_expired,1.086219626,20.37,Healthcare,18.49
154,ACAD,2019-09-12,2019-09-12,1,1,False,True,,gap_expired,-0.181571478,40.12,Healthcare,14.22
155,ACAD,2020-12-07,2020-12-07,1,1,False,False,,gap_expired,-0.885505723,53.21,Healthcare,21.3
156,ACB,2019-10-24,2019-10-24,1,1,False,False,,gap_expired,-0.758714347,444.0,Healthcare,13.71
157,ACGL,2022-12-20,2022-12-20,1,1,False,False,,gap_expired,-0.07227535,59.383582785,Financial Services,21.48
158,ACHR,2024-12-10,2024-12-10,1,1,False,False,,gap_expired,-0.107141142,7.6,Industrials,14.18
159,ACI,2020-07-02,2020-10-23,5,2,False,True,,gap_expired,-0.147698351,10.406869335,Consumer Defensive,27.68
160,ACI,2021-06-16,2021-08-12,2,2,False,True,,gap_expired,0.581343575,13.110741367,Consumer Defensive,18.15
161,ACI,2021-10-15,2021-10-15,1,1,False,True,,gap_expired,0.117102693,18.991663152,Consumer Defensive,16.3
162,ACI,2022-01-07,2022-01-07,1,1,False,False,,gap_expired,0.046890665,21.485477355,Consumer Defensive,18.76
163,ACI,2022-11-16,2022-11-16,1,1,False,True,,gap_expired,0.016953372,19.019091711,Consumer Defensive,24.11
164,ACI,2024-09-11,2024-09-11,1,1,False,False,,gap_expired,-0.180928769,17.73692421,Consumer Defensive,17.69
165,ACLS,2023-01-10,2023-02-24,2,2,False,False,,gap_expired,-0.022441933,94.21,Technology,20.58
166,ACM,2020-02-21,2020-02-21,1,1,False,False,,gap_expired,-0.061557945,47.902047127,Industrials,17.08
167,ACM,2022-05-10,2022-05-10,1,1,False,False,,gap_expired,0.155767305,63.035613342,Industrials,32.99
168,ACM,2023-07-10,2023-07-10,1,1,False,False,,gap_expired,-0.278541578,84.662674418,Industrials,15.07
169,ACM,2024-03-26,2024-03-26,1,1,False,False,,gap_expired,-0.126274217,95.658226628,Industrials,13.24
170,ACN,2018-01-22,2018-03-16,2,1,False,False,,gap_expired,-0.002103754,141.575084591,Technology,11.03
171,ACN,2018-06-13,2018-07-10,2,1,False,False,,gap_expired,0.088390952,144.630842373,Technology,12.94
172,ACN,2018-09-21,2018-09-21,1,1,False,False,,gap_expired,0.080355394,153.246870608,Technology,11.68
173,ACN,2019-03-22,2019-03-22,1,1,False,False,,gap_expired,0.076709318,147.427139327,Technology,16.48
174,ACN,2019-09-20,2019-09-20,1,1,False,False,,gap_expired,0.120558719,173.29078613,Technology,15.32
175,ACN,2019-12-11,2019-12-11,1,1,False,False,,gap_expired,0.048044267,182.930313168,Technology,14.99
176,ACN,2020-03-13,2020-03-13,1,1,False,False,,gap_expired,0.132568613,134.703295768,Technology,57.83
177,ACN,2020-09-18,2020-09-18,1,1,False,False,,gap_expired,0.091026983,213.23927384,Technology,25.83
178,ACN,2020-12-17,2020-12-17,1,1,False,False,,gap_expired,0.237157814,242.621803922,Technology,21.93
179,ACN,2021-12-10,2021-12-10,1,1,False,False,,gap_expired,-0.078843323,353.171123302,Technology,18.69
180,ACN,2022-05-04,2022-05-04,1,1,False,False,,gap_expired,-0.122610117,290.812493577,Technology,25.42
181,ACN,2022-10-12,2022-10-12,1,1,False,False,,gap_expired,0.004675688,229.894685519,Technology,33.57
182,ACN,2022-12-16,2022-12-16,1,1,False,False,,gap_expired,0.070914543,248.282907826,Technology,22.62
183,ACN,2023-02-27,2023-04-03,3,2,True,False,2023-04-03,gap_expired,0.139290487,250.747898929,Technology,20.95
184,ACN,2024-05-16,2024-05-16,1,1,False,False,,gap_expired,-0.072235663,299.110242324,Technology,12.42
185,ACN,2024-10-09,2024-10-09,1,1,False,False,,gap_expired,-0.478449916,354.058223065,Technology,20.86
186,ADB,2018-01-02,2018-03-12,4,2,False,False,,gap_expired,0.314513639,178.0,Technology,9.77
187,ADB,2018-05-30,2018-07-05,6,1,False,True,,gap_expired,0.019772594,247.11,Technology,14.94
188,ADB,2018-09-04,2019-06-19,13,4,False,True,,gap_expired,0.022552161,265.61,Technology,13.16
189,ADB,2019-08-22,2020-03-10,15,4,False,True,,gap_expired,0.444512191,289.23,Technology,16.68
190,ADB,2020-06-11,2021-01-07,9,4,True,True,2020-10-21,gap_expired,-0.041025997,409.3,Technology,40.79
191,ADB,2021-06-11,2021-06-21,2,1,False,False,,gap_expired,-0.213288285,545.04,Technology,15.65
192,ADB,2021-09-21,2022-04-21,11,4,False,True,,gap_expired,-0.411740317,624.79,Technology,24.36
193,ADB,2022-09-19,2022-09-19,1,1,False,False,,gap_expired,0.616979711,292.82,Technology,25.76
194,ADB,2023-03-15,2024-12-06,22,10,True,True,2023-06-08,gap_expired,0.141138471,344.57,Technology,26.14
195,ADI,2018-01-08,2018-01-08,1,1,False,False,,gap_expired,0.023465324,79.129215862,Technology,9.52
196,ADI,2018-08-17,2018-08-17,1,1,False,False,,gap_expired,0.125322664,82.519478009,Technology,12.64
197,ADI,2018-11-27,2019-01-07,2,2,False,False,,gap_expired,0.093903585,78.649603862,Technology,19.02
198,ADI,2019-12-04,2019-12-04,1,1,False,False,,gap_expired,0.08205006,102.276529218,Technology,14.8
199,ADI,2020-08-19,2020-08-19,1,1,False,False,,gap_expired,0.099639905,106.811279961,Technology,22.54
200,ADI,2020-11-20,2020-12-16,2,1,False,False,,gap_expired,0.043094933,123.378774873,Technology,23.7
201,ADI,2022-08-15,2022-08-15,1,1,False,False,,gap_expired,-0.039589969,168.603266383,Technology,19.95
202,ADI,2023-02-28,2023-02-28,1,1,False,False,,gap_expired,-0.234541126,175.289238317,Technology,20.7
203,ADI,2024-05-17,2024-05-17,1,1,False,False,,gap_expired,-0.112518129,208.854376976,Technology,11.99
204,ADM,2018-01-23,2018-01-23,1,1,False,True,,gap_expired,0.101184184,33.696600156,Consumer Defensive,11.1
205,ADM,2021-08-04,2021-08-04,1,1,False,True,,gap_expired,0.477014326,52.09298624,Consumer Defensive,17.97
206,ADM,2022-03-22,2022-03-22,1,1,False,False,,gap_expired,-0.013292243,78.824155344,Consumer Defensive,22.94
207,ADM,2022-07-27,2022-08-30,2,1,False,False,,gap_expired,-0.072966421,71.925617408,Consumer Defensive,23.24
208,ADM,2022-12-14,2022-12-14,1,1,False,False,,gap_expired,-0.417121117,83.618369258,Consumer Defensive,21.14
209,ADM,2023-03-09,2023-03-09,1,1,False,False,,gap_expired,-0.585392799,70.748118315,Consumer Defensive,22.61
210,ADMA,2023-02-28,2023-02-28,1,1,False,False,,gap_expired,0.229497406,3.57,Healthcare,20.7
211,ADMA,2024-07-22,2024-08-29,2,2,False,True,,gap_expired,0.143758697,13.78,Healthcare,14.91
212,ADNT,2020-10-22,2020-10-22,1,1,False,False,,gap_expired,0.474426809,23.93,Consumer Cyclical,28.11
213,ADP,2018-01-31,2018-01-31,1,1,False,True,,gap_expired,0.210459923,103.515965197,Technology,13.54
214,ADP,2018-06-11,2018-07-12,2,1,True,True,2018-06-11,gap_expired,0.164527057,117.160309553,Technology,12.35
215,ADP,2019-05-10,2019-08-13,3,2,False,True,,gap_expired,-0.12179507,137.304884418,Technology,16.04
216,ADP,2020-04-29,2020-04-29,1,1,False,False,,gap_expired,-0.129242655,127.939694356,Technology,31.23
217,ADSK,2018-09-04,2018-10-11,2,2,False,False,,gap_expired,-0.073100167,153.87,Technology,13.16
218,ADSK,2019-02-12,2019-02-12,1,1,False,False,,gap_expired,0.048435032,159.97,Technology,15.43
219,ADSK,2019-05-08,2019-05-08,1,1,False,False,,gap_expired,0.042764168,169.23,Technology,19.4
220,ADSK,2019-11-26,2019-11-26,1,1,False,False,,gap_expired,0.421484314,170.53,Technology,11.54
221,ADSK,2020-07-22,2020-07-22,1,1,False,False,,gap_expired,-0.071894108,241.29,Technology,24.32
222,ADSK,2021-01-07,2021-01-07,1,1,False,False,,gap_expired,-0.411924792,316.41,Technology,22.37
223,ADSK,2022-04-08,2022-04-08,1,1,False,True,,gap_expired,0.042634283,198.41,Technology,21.16
224,ADSK,2023-08-10,2023-08-10,1,1,False,False,,gap_expired,-0.049100575,205.75,Technology,15.85
225,ADUS,2024-04-05,2024-04-05,1,1,False,False,,gap_expired,-0.091533591,103.2,Healthcare,16.03
226,AEO,2020-10-08,2020-11-20,4,2,False,False,,gap_expired,0.313997045,13.348315081,Consumer Cyclical,26.36
227,AEO,2021-02-26,2022-04-20,13,7,True,False,2021-06-22,gap_expired,-0.324312211,22.818181142,Consumer Cyclical,27.95
228,AEO,2023-01-09,2023-01-09,1,1,False,False,,gap_expired,0.21940447,13.729681336,Consumer Cyclical,21.97
229,AEP,2018-01-22,2023-02-24,47,26,True,True,2018-01-29,gap_expired,0.230177343,51.067895794,Utilities,11.03
230,AEP,2023-07-20,2024-01-17,5,3,True,False,2023-11-03,gap_expired,-0.115048413,78.537991404,Utilities,13.99
231,AEP,2024-11-07,2024-11-07,1,1,False,True,,gap_expired,0.164007809,91.914666388,Utilities,15.2
232,AER,2023-11-13,2023-11-13,1,1,False,False,,gap_expired,0.094902148,65.330138666,Industrials,14.76
233,AFL,2019-04-24,2019-04-24,1,1,False,True,,gap_expired,-0.226830799,41.489188114,Financial Services,13.14
234,AFOM,2021-06-29,2021-06-29,1,1,False,False,,gap_expired,-0.476994339,0.0064562,Communication Services,16.02
235,AFOM,2021-09-08,2021-10-19,3,3,False,False,,gap_expired,-0.562824284,0.00915801,Communication Services,17.96
236,AFOM,2022-04-01,2022-04-01,1,1,False,False,,gap_expired,-0.092146209,0.004180074,Communication Services,19.63
237,AFRM,2021-02-02,2021-02-12,2,2,False,True,,gap_expired,-0.686694819,115.951,Financial Services,25.56
